angular.js (1970-01-01 - 2018-01-01),atom (2011-08-18 - 2018-01-01),bootstrap (2011-04-27 - 2018-01-01),cassandra (2009-03-02 - 2018-01-01),clojurescript (2011-06-02 - 2018-01-01),electron (2013-03-13 - 2018-01-01),freebsd (1993-06-12 - 2018-01-01),git (2005-04-07 - 2018-01-01),go (1972-07-18 - 2018-01-01),jquery (2006-03-22 - 2018-01-01),Leaflet (2010-09-01 - 2018-01-01),linux (2005-04-16 - 2018-01-01),llvm (2001-06-06 - 2018-01-01),node (2009-02-16 - 2018-01-01),opencv (2010-05-11 - 2018-01-01),rails (2004-11-24 - 2018-01-01),react (2013-05-29 - 2018-01-01),react-native (2015-01-29 - 2018-01-01),swift (2010-07-17 - 2018-01-01),tensorflow (2015-11-06 - 2018-01-01),vscode (2015-11-13 - 2018-01-01),
0,,,42,,,96,55,0,8,,871,38,71,38,159,,,,,,
0,,,32,,,85,47,0,12,,853,28,61,40,111,,,,,,
0,,,32,,,96,36,0,12,,822,32,112,,94,,,,,,
0,,,31,,,95,46,0,10,,714,35,89,,98,,,,,,
0,,,33,,,96,53,0,9,,931,37,175,,115,,,,,,
0,,,26,,,86,41,0,7,,855,35,120,,105,,,,,,
0,,,32,,,91,50,0,16,,945,33,95,,87,,,,,,
0,,,31,,,105,48,0,5,,815,39,88,,118,,,,,,
0,,,32,,,94,57,0,4,,910,47,99,,127,,,,,,
0,,,31,,,108,53,0,5,,879,54,92,,94,,,,,,
0,,,23,,,91,47,0,6,,884,46,95,,139,,,,,,
0,,,29,,,93,46,0,1,,908,45,72,,133,,,,,,
0,,,35,,,101,35,0,7,,841,47,126,,120,,,,,,
0,,,33,,,107,43,0,4,,943,41,113,,93,,,,,,
0,,,21,,,98,29,0,6,,842,47,253,,116,,,,,,
0,,,18,,,92,32,0,11,,891,48,188,,105,,,,,,
0,,,,,,109,42,0,14,,953,43,154,,94,,,,,,
0,,,,,,117,43,0,4,,961,38,,,90,,,,,,
0,,,,,,103,41,0,8,,920,46,,,110,,,,,,
0,,,,,,99,42,0,6,,991,34,,,107,,,,,,
0,,,,,,102,50,0,9,,1057,44,,,89,,,,,,
0,,,,,,105,35,0,5,,951,42,,,104,,,,,,
0,,,,,,101,36,0,8,,1005,48,,,89,,,,,,
0,,,,,,110,35,0,6,,984,42,,,112,,,,,,
0,,,,,,83,26,0,11,,996,48,,,133,,,,,,
0,,,,,,95,39,0,15,,1004,45,,,103,,,,,,
0,,,,,,109,37,0,4,,1017,47,,,98,,,,,,
0,,,,,,105,30,0,4,,802,58,,,109,,,,,,
0,,,,,,94,42,0,11,,1111,52,,,101,,,,,,
0,,,,,,96,31,0,10,,928,52,,,90,,,,,,
0,,,,,,89,46,0,6,,1154,46,,,107,,,,,,
0,,,,,,99,36,0,6,,891,51,,,123,,,,,,
0,,,,,,96,34,0,11,,1082,49,,,134,,,,,,
0,,,,,,87,40,0,5,,906,47,,,118,,,,,,
0,,,,,,84,36,0,3,,1129,52,,,121,,,,,,
0,,,,,,101,41,0,6,,978,59,,,116,,,,,,
0,,,,,,87,37,0,5,,1077,59,,,113,,,,,,
0,,,,,,84,40,0,1,,1057,54,,,116,,,,,,
0,,,,,,100,34,0,1,,1024,62,,,95,,,,,,
0,,,,,,100,36,0,5,,963,63,,,108,,,,,,
0,,,,,,101,33,0,6,,1067,62,,,108,,,,,,
0,,,,,,93,47,0,3,,1224,80,,,107,,,,,,
0,,,,,,97,45,0,7,,1019,70,,,112,,,,,,
0,,,,,,98,36,0,1,,1124,57,,,115,,,,,,
0,,,,,,117,42,0,2,,940,62,,,98,,,,,,
0,,,,,,101,46,0,4,,1089,68,,,132,,,,,,
0,,,,,,94,30,0,6,,938,76,,,105,,,,,,
0,,,,,,77,37,0,5,,1130,81,,,96,,,,,,
0,,,,,,90,42,0,1,,1021,93,,,82,,,,,,
0,,,,,,95,38,0,2,,1092,68,,,72,,,,,,
0,,,,,,90,28,0,1,,1167,89,,,91,,,,,,
0,,,,,,90,41,0,4,,898,106,,,97,,,,,,
0,,,,,,84,39,0,,,1241,92,,,73,,,,,,
0,,,,,,93,47,0,,,996,87,,,58,,,,,,
0,,,,,,104,28,0,,,1199,100,,,65,,,,,,
0,,,,,,75,43,0,,,1039,90,,,65,,,,,,
0,,,,,,100,40,0,,,1139,84,,,76,,,,,,
0,,,,,,84,31,0,,,1058,95,,,74,,,,,,
0,,,,,,91,44,0,,,1162,98,,,93,,,,,,
0,,,,,,89,39,0,,,1158,109,,,70,,,,,,
0,,,,,,90,46,0,,,1128,106,,,68,,,,,,
